Date,Open,High,Low,Close,Volume,High-Low,Open-Close
12-04-2016,520.15,528.50,519.30,523.58,386426,9.20,-3.43
11-04-2016,517.60,522.50,516.65,519.93,334630,5.85,-2.33
08-04-2016,516.75,527.00,516.03,518.93,518390,10.97,-2.18
07-04-2016,516.00,524.00,511.63,518.98,340984,12.37,-2.98
06-04-2016,515.40,517.95,511.10,515.73,175180,6.85,-0.33
05-04-2016,515.00,521.00,511.33,514.05,415002,9.67,0.95
04-04-2016,518.08,521.23,512.23,517.58,232286,9.00,0.50
01-04-2016,519.50,522.95,513.20,516.83,410832,9.75,2.67
31-03-2016,521.50,527.98,517.05,522.63,585470,10.93,-1.13
30-03-2016,520.18,525.45,520.13,522.45,450896,5.32,-2.27
29-03-2016,511.53,520.45,511.20,517.70,493374,9.25,-6.17
28-03-2016,514.50,515.98,507.75,510.25,608820,8.23,4.25
23-03-2016,523.50,523.50,511.50,514.68,700978,12.00,8.82
22-03-2016,519.05,526.25,518.38,524.25,604226,7.87,-5.20
21-03-2016,513.60,519.50,511.75,518.10,404590,7.75,-4.50
18-03-2016,509.50,514.20,508.13,512.60,1654696,6.07,-3.10
17-03-2016,514.00,518.20,506.20,507.78,402808,12.00,6.22
16-03-2016,510.50,512.85,502.70,510.88,329290,10.15,-0.38
15-03-2016,510.50,513.48,508.00,510.20,383600,5.48,0.30
14-03-2016,509.08,513.00,506.50,509.28,412028,6.50,-0.20
11-03-2016,508.25,514.75,505.65,507.83,496130,9.10,0.42
10-03-2016,521.85,522.50,504.50,506.00,709678,18.00,15.85
09-03-2016,509.50,522.00,508.68,520.98,735582,13.32,-11.48
08-03-2016,503.00,515.50,503.00,513.58,848708,12.50,-10.58
04-03-2016,508.50,509.00,501.88,503.25,5823824,7.12,5.25
03-03-2016,503.63,508.63,498.78,506.28,681300,9.85,-2.65
02-03-2016,496.25,502.63,493.75,500.60,1059478,8.88,-4.35
01-03-2016,483.75,492.50,482.50,491.13,623658,10.00,-7.38
29-02-2016,475.55,496.50,468.15,483.28,1999976,28.35,-7.73
26-02-2016,475.00,479.25,472.48,475.25,450218,6.77,-0.25
25-02-2016,478.50,478.50,470.85,472.20,665922,7.65,6.30
24-02-2016,473.15,479.50,471.28,476.28,2915298,8.22,-3.13
23-02-2016,482.00,483.45,471.53,475.35,3589456,11.92,6.65
22-02-2016,472.95,483.95,472.53,481.23,437740,11.42,-8.28
19-02-2016,470.58,476.23,468.90,472.28,372336,7.33,-1.70
18-02-2016,481.00,483.88,468.15,470.58,486996,15.73,10.42
17-02-2016,466.70,478.00,458.55,476.23,730894,19.45,-9.53
16-02-2016,476.40,479.00,463.50,464.83,614758,15.50,11.57
15-02-2016,460.50,474.98,460.00,472.33,577764,14.98,-11.83
12-02-2016,465.53,466.50,444.25,453.15,1362600,22.25,12.38
11-02-2016,481.50,483.00,458.13,461.23,1126010,24.87,20.27
10-02-2016,475.63,486.45,474.48,481.20,990208,11.97,-5.57
09-02-2016,475.55,484.25,475.18,478.30,718334,9.07,-2.75
08-02-2016,485.95,492.13,478.85,480.80,623880,13.28,5.15
05-02-2016,488.15,491.00,481.50,486.15,659718,9.50,2.00
04-02-2016,495.00,500.00,484.00,486.98,610498,16.00,8.02
03-02-2016,494.05,496.60,487.50,490.35,689424,9.10,3.70
02-02-2016,515.50,516.00,495.15,501.00,734140,20.85,14.50
01-02-2016,520.00,520.50,512.58,514.05,433148,7.92,5.95
29-01-2016,510.00,519.70,509.43,517.53,561622,10.27,-7.53
28-01-2016,500.00,510.88,498.88,508.45,559196,12.00,-8.45
27-01-2016,503.98,504.85,498.08,499.68,426560,6.77,4.30
25-01-2016,504.10,509.20,500.08,502.40,552368,9.12,1.70
22-01-2016,497.50,505.08,497.38,501.98,688636,7.70,-4.48
21-01-2016,508.15,512.85,489.08,492.45,1842598,23.77,15.70
20-01-2016,520.25,520.25,495.25,502.18,2363824,25.00,18.07
19-01-2016,512.50,524.50,507.60,521.80,1078948,16.90,-9.30
18-01-2016,536.53,541.23,505.05,509.00,1154130,36.18,27.53
15-01-2016,535.00,544.75,533.00,536.58,1612382,11.75,-1.58
14-01-2016,531.05,540.50,526.20,530.60,1181832,14.30,0.45
13-01-2016,527.40,543.70,509.68,538.68,2836812,34.02,-11.28
12-01-2016,527.00,532.50,520.53,522.55,902516,11.97,4.45
11-01-2016,505.50,529.98,505.50,525.78,1722868,24.48,-20.28
08-01-2016,509.50,516.08,500.03,512.03,14016634,16.05,-2.53
07-01-2016,511.90,513.80,504.13,505.78,749086,9.67,6.12
06-01-2016,502.50,519.00,500.28,515.98,1899962,18.72,-13.48
05-01-2016,501.00,505.00,498.43,502.55,589342,6.57,-1.55
04-01-2016,503.00,507.10,493.65,497.70,547254,13.45,5.30
01-01-2016,505.00,510.00,504.38,507.68,657190,5.62,-2.68
31-12-2015,502.00,508.50,500.00,506.30,482872,8.50,-4.30
30-12-2015,507.85,508.50,501.05,502.43,207746,7.45,5.42
29-12-2015,506.50,509.25,503.75,507.58,497966,5.50,-1.08
28-12-2015,502.00,506.78,500.50,504.28,583340,6.28,-2.28
24-12-2015,502.75,504.00,498.05,500.45,292818,5.95,2.30
23-12-2015,496.70,503.00,495.45,501.78,454090,7.55,-5.08
22-12-2015,495.55,501.25,492.00,493.75,526812,9.25,1.80
21-12-2015,494.28,499.10,492.50,496.13,535610,6.60,-1.85
18-12-2015,501.50,504.50,495.08,496.03,505546,9.42,5.47
17-12-2015,490.13,506.63,489.00,504.18,1148440,17.63,-14.05
16-12-2015,486.70,493.45,486.70,489.00,375080,6.75,-2.30
15-12-2015,478.00,488.95,476.50,487.95,489218,12.45,-9.95
14-12-2015,473.25,481.35,473.25,477.73,504294,8.10,-4.48
11-12-2015,475.05,479.43,471.45,476.13,741078,7.98,-1.08
10-12-2015,460.58,476.70,460.13,474.95,777824,16.57,-14.37
09-12-2015,470.00,472.18,456.50,457.98,703338,15.68,12.02
08-12-2015,475.05,477.00,468.85,471.23,446958,8.15,3.82
07-12-2015,483.50,486.45,475.50,476.85,384486,10.95,6.65
04-12-2015,486.75,488.00,480.95,482.88,367434,7.05,3.87
03-12-2015,488.75,494.13,486.68,488.40,633600,7.45,0.35
02-12-2015,483.20,489.30,482.90,488.30,338120,6.40,-5.10
01-12-2015,483.20,489.25,481.00,482.78,338474,8.25,0.42
30-11-2015,488.58,491.90,482.00,484.00,343276,9.90,4.58
27-11-2015,495.00,496.00,487.18,489.53,338902,8.82,5.47
26-11-2015,484.95,495.30,484.23,493.85,600510,11.07,-8.90
24-11-2015,476.03,485.50,475.38,484.00,456828,10.12,-7.97
23-11-2015,473.78,477.83,472.83,476.05,333600,5.00,-2.27
20-11-2015,467.70,476.05,462.70,472.98,607934,13.35,-5.28
19-11-2015,459.75,468.75,459.00,467.10,451980,9.75,-7.35
18-11-2015,463.50,465.83,455.00,456.18,459920,10.83,7.32
17-11-2015,468.35,469.35,462.98,463.75,342994,6.37,4.60
16-11-2015,464.50,470.90,462.35,466.53,794162,8.55,-2.03
13-11-2015,459.00,468.58,457.50,465.10,550544,11.08,-6.10
11-11-2015,464.00,466.50,463.50,464.48,171276,3.00,-0.48
10-11-2015,478.55,479.48,458.50,460.98,556496,20.98,17.57
09-11-2015,467.50,481.13,462.50,480.00,535028,18.63,-12.50
06-11-2015,469.00,477.00,469.00,476.23,350952,8.00,-7.23
05-11-2015,475.50,475.75,466.53,468.43,487456,9.22,7.07
04-11-2015,486.00,487.50,473.35,476.05,345608,14.15,9.95
03-11-2015,481.00,485.00,481.00,483.20,363816,4.00,-2.20
02-11-2015,473.05,480.25,472.63,479.58,312476,7.62,-6.53
30-10-2015,470.78,477.88,470.40,473.93,345478,7.48,-3.15
29-10-2015,469.40,472.48,467.75,470.78,244632,4.73,-1.38
28-10-2015,469.00,472.25,465.18,468.63,281212,7.07,0.37
27-10-2015,470.90,473.88,468.75,469.60,285718,5.13,1.30
26-10-2015,479.03,481.50,470.00,471.50,302258,11.50,7.53
23-10-2015,481.05,486.68,475.40,477.93,479590,11.28,3.12
21-10-2015,478.00,487.00,476.40,477.38,580074,10.60,0.62
20-10-2015,481.50,483.40,475.55,477.73,413948,7.85,3.77
19-10-2015,470.80,482.60,470.80,481.70,1604180,11.80,-10.90
16-10-2015,452.50,457.35,452.00,456.10,465042,5.35,-3.60
15-10-2015,453.63,455.30,450.05,452.00,379644,5.25,1.63
14-10-2015,446.58,452.00,446.15,451.00,334812,5.85,-4.42
13-10-2015,443.90,447.50,441.50,446.28,255080,6.00,-2.38
12-10-2015,445.00,450.33,444.25,446.03,288826,6.08,-1.03
09-10-2015,448.43,452.45,441.05,443.18,505952,11.40,5.25
08-10-2015,457.08,457.50,443.30,444.58,587150,14.20,12.50
07-10-2015,447.90,458.50,445.03,456.93,641720,13.47,-9.03
06-10-2015,446.55,449.50,442.78,447.95,467856,6.72,-1.40
05-10-2015,432.50,444.95,431.25,443.13,738020,13.70,-10.63
01-10-2015,436.00,436.25,429.40,431.15,346572,6.85,4.85
30-09-2015,424.03,431.50,419.30,430.25,691504,12.20,-6.22
29-09-2015,414.50,424.65,413.28,419.58,873688,11.37,-5.08
28-09-2015,418.95,420.45,415.00,417.18,1556288,5.45,1.77
24-09-2015,424.00,424.00,417.53,418.95,1460232,6.47,5.05
23-09-2015,420.00,428.38,420.00,425.70,832466,8.38,-5.70
22-09-2015,440.05,442.23,422.50,423.73,1447724,19.73,16.32
21-09-2015,440.00,443.88,437.85,438.85,354262,6.03,1.15
18-09-2015,438.75,449.50,438.55,447.55,1117076,10.95,-8.80
16-09-2015,435.00,438.70,432.50,436.05,567710,6.20,-1.05
15-09-2015,431.00,434.83,428.10,433.78,665496,6.73,-2.78
14-09-2015,430.90,432.20,426.05,431.53,488222,6.15,-0.63
11-09-2015,436.68,438.15,428.65,430.53,727502,9.50,6.15
10-09-2015,430.05,435.00,428.00,433.48,737120,7.00,-3.43
09-09-2015,429.50,439.25,425.68,436.53,821708,13.57,-7.03
08-09-2015,418.00,426.60,413.00,424.48,576976,13.60,-6.48
07-09-2015,418.50,422.00,413.88,416.53,355512,8.12,1.97
04-09-2015,423.55,425.18,412.63,417.80,1272608,12.55,5.75
03-09-2015,426.95,430.20,422.53,426.88,415310,7.67,0.07
02-09-2015,425.00,428.48,421.65,424.65,736250,6.83,0.35
01-09-2015,426.28,426.50,417.60,420.08,1341202,8.90,6.20
31-08-2015,435.13,435.60,427.25,428.40,704230,8.35,6.73
28-08-2015,439.78,441.50,433.05,435.60,478526,8.45,4.18
27-08-2015,434.15,440.00,428.83,434.78,676666,11.17,-0.63
26-08-2015,423.95,437.40,420.73,426.73,796838,16.67,-2.78
25-08-2015,420.00,430.50,412.20,426.45,1361240,18.30,-6.45
24-08-2015,445.00,445.00,409.50,414.48,1830128,35.50,30.52
21-08-2015,455.00,455.90,448.68,453.65,1118108,7.22,1.35
20-08-2015,479.95,480.00,458.13,459.43,878542,21.87,20.52
19-08-2015,472.45,480.23,469.83,476.35,598304,10.40,-3.90
18-08-2015,477.60,479.43,471.00,472.18,525790,8.43,5.42
17-08-2015,483.50,483.53,473.65,475.03,556684,9.88,8.47
14-08-2015,469.30,485.98,467.45,483.53,752246,18.53,-14.23
13-08-2015,474.00,477.05,465.63,467.45,453656,11.42,6.55
12-08-2015,483.18,483.18,470.08,471.53,782844,13.10,11.65
11-08-2015,488.00,488.00,479.28,483.18,538830,8.72,4.82
10-08-2015,492.50,494.90,483.13,485.05,385334,11.77,7.45
07-08-2015,490.50,497.00,487.65,492.13,499782,9.35,-1.63
06-08-2015,497.00,497.00,489.00,489.70,479148,8.00,7.30
05-08-2015,495.00,500.00,492.00,493.83,525792,8.00,1.17
04-08-2015,500.63,502.73,490.08,494.05,710210,12.65,6.58
03-08-2015,500.58,506.60,499.10,500.58,650120,7.50,0.00
31-07-2015,501.00,503.95,495.00,500.83,703544,8.95,0.17
30-07-2015,500.85,504.00,496.53,499.65,598474,7.47,1.20
29-07-2015,506.00,506.23,496.10,497.73,480304,10.13,8.27
28-07-2015,504.75,508.38,500.13,504.98,646970,8.25,-0.23
27-07-2015,513.50,517.50,500.65,502.90,875406,16.85,10.60
24-07-2015,523.10,525.00,510.80,512.53,580542,14.20,10.57
23-07-2015,527.50,533.50,520.50,522.83,1220728,13.00,4.67
22-07-2015,503.65,526.75,502.58,525.23,1651832,24.17,-21.58
21-07-2015,513.35,514.00,501.45,503.75,525374,12.55,9.60
20-07-2015,513.05,514.95,509.05,512.38,615066,5.90,0.67
17-07-2015,511.50,515.50,509.00,511.08,810666,6.50,0.42
16-07-2015,506.25,513.75,505.70,511.83,1023982,8.05,-5.58
15-07-2015,500.00,507.00,499.50,505.70,991436,7.50,-5.70
14-07-2015,504.20,505.73,497.63,498.80,603708,8.10,5.40
13-07-2015,500.50,506.13,497.70,503.60,866854,8.43,-3.10
10-07-2015,497.33,501.88,495.20,500.78,655524,6.68,-3.45
09-07-2015,497.68,500.73,492.15,493.65,808608,8.58,4.03
08-07-2015,500.00,504.10,495.23,497.40,821630,8.87,2.60
07-07-2015,507.00,508.25,500.15,501.70,427058,8.10,5.30
06-07-2015,500.00,509.43,498.00,507.65,1129114,11.43,-7.65
03-07-2015,505.45,506.75,501.73,503.38,1065930,5.02,2.07
02-07-2015,503.53,509.98,503.08,505.15,1170926,6.90,-1.62
01-07-2015,501.20,505.33,501.00,502.88,927584,4.33,-1.68
30-06-2015,495.00,501.75,494.00,500.23,977206,7.75,-5.23
29-06-2015,492.50,496.80,486.30,495.38,1073906,10.50,-2.88
26-06-2015,501.13,506.90,497.75,499.78,1104170,9.15,1.35
25-06-2015,495.25,504.53,492.58,502.33,1557334,11.95,-7.08
24-06-2015,497.63,503.28,493.00,495.38,1319866,10.28,2.25
23-06-2015,496.38,501.20,495.38,497.38,1016324,5.82,-1.00
22-06-2015,498.45,504.35,493.33,495.68,1299468,11.02,2.77
19-06-2015,491.50,503.00,491.50,498.25,2145934,11.50,-6.75
18-06-2015,467.20,491.00,466.50,489.53,2806702,24.50,-22.33
17-06-2015,452.50,470.20,447.20,465.55,1739672,23.00,-13.05
16-06-2015,449.95,452.95,446.25,451.98,625940,6.70,-2.03
15-06-2015,446.85,452.30,445.00,450.50,519552,7.30,-3.65
12-06-2015,439.65,446.25,439.43,444.58,794258,6.82,-4.93
11-06-2015,453.45,454.48,437.00,438.60,833196,17.48,14.85
10-06-2015,442.50,454.95,442.50,452.95,578364,12.45,-10.45
09-06-2015,442.63,445.25,439.00,441.95,408020,6.25,0.68
08-06-2015,454.40,455.33,441.83,442.63,433768,13.50,11.77
05-06-2015,455.00,458.33,452.00,453.03,575498,6.33,1.97
04-06-2015,451.55,457.95,447.53,456.25,923556,10.42,-4.70
03-06-2015,449.50,455.18,444.50,447.95,891370,10.68,1.55
02-06-2015,452.08,459.25,445.58,449.35,1116106,13.67,2.73
01-06-2015,438.50,452.00,438.50,450.68,542760,13.50,-12.18
29-05-2015,439.75,443.25,437.00,438.58,1247488,6.25,1.17
28-05-2015,443.45,447.00,436.70,438.38,470986,10.30,5.07
27-05-2015,442.05,445.40,440.38,443.48,377286,5.02,-1.43
26-05-2015,447.75,448.25,441.60,442.33,308762,6.65,5.42
25-05-2015,450.68,453.80,446.10,447.10,381444,7.70,3.58
22-05-2015,448.60,452.40,448.50,451.33,378634,3.90,-2.73
21-05-2015,455.13,457.75,447.00,448.45,970184,10.75,6.68
20-05-2015,450.00,454.75,449.45,453.70,603880,5.30,-3.70
19-05-2015,446.00,452.48,443.55,447.75,799164,8.93,-1.75
18-05-2015,438.10,446.05,436.50,445.25,525608,9.55,-7.15
15-05-2015,440.65,443.20,435.60,436.98,400024,7.60,3.67
14-05-2015,441.13,443.00,435.50,439.25,632312,7.50,1.88
13-05-2015,437.50,444.50,428.95,442.40,874884,15.55,-4.90
12-05-2015,447.50,447.50,432.63,434.18,746496,14.87,13.32
11-05-2015,446.00,449.48,441.60,447.88,735064,7.88,-1.88
08-05-2015,435.50,446.70,431.80,444.95,978444,14.90,-9.45
07-05-2015,438.65,439.50,430.00,434.70,879942,9.50,3.95
06-05-2015,445.53,448.20,436.00,439.63,1065340,12.20,5.90
05-05-2015,446.50,450.88,442.50,445.45,714208,8.38,1.05
04-05-2015,433.50,446.63,430.60,445.23,714448,16.03,-11.73
30-04-2015,425.85,432.95,424.25,431.43,667934,8.70,-5.58
29-04-2015,431.70,435.48,424.15,425.63,618370,11.33,6.07
28-04-2015,437.50,440.88,430.00,432.50,954042,10.88,5.00
27-04-2015,440.50,443.75,435.50,437.28,490982,8.25,3.22
24-04-2015,438.43,441.98,434.20,439.70,614502,7.78,-1.27
23-04-2015,442.33,444.95,434.63,438.50,621062,10.32,3.83
22-04-2015,440.30,443.30,433.80,439.95,604908,9.50,0.35
21-04-2015,444.00,447.53,436.23,437.95,850258,11.30,6.05
20-04-2015,468.28,468.98,439.38,442.78,1655212,29.60,25.50
17-04-2015,467.70,471.90,461.58,463.43,924788,10.32,4.27
16-04-2015,463.08,468.80,459.50,463.73,999870,9.30,-0.65
15-04-2015,460.45,469.70,453.80,461.88,1027362,15.90,-1.43
13-04-2015,454.20,462.50,449.30,461.20,938324,13.20,-7.00
10-04-2015,447.50,453.35,444.50,451.83,957370,8.85,-4.33
09-04-2015,433.05,449.45,430.00,447.48,2239056,19.45,-14.43
08-04-2015,418.00,434.58,416.50,432.75,1302626,18.08,-14.75
07-04-2015,412.55,417.95,412.55,416.40,510522,5.40,-3.85
06-04-2015,417.65,418.98,410.73,412.00,439212,8.25,5.65
01-04-2015,412.48,419.00,407.00,417.28,508828,12.00,-4.80
31-03-2015,408.05,416.03,408.05,412.35,629590,7.98,-4.30
30-03-2015,408.00,409.00,398.38,405.18,903024,10.62,2.82
27-03-2015,416.30,417.58,400.75,405.88,1071388,16.83,10.42
26-03-2015,420.68,424.38,412.28,415.30,765288,12.10,5.38
25-03-2015,425.25,425.25,420.08,422.35,764034,5.17,2.90
24-03-2015,421.23,427.23,421.03,424.40,877958,6.20,-3.17
23-03-2015,428.18,431.73,419.05,421.13,622110,12.68,7.05
20-03-2015,428.05,430.50,424.43,427.15,390254,6.07,0.90
19-03-2015,437.50,438.00,426.05,428.13,509452,11.95,9.37
18-03-2015,429.00,436.45,427.50,434.38,620186,8.95,-5.38
17-03-2015,424.08,429.90,420.50,428.43,1176180,9.40,-4.35
16-03-2015,427.00,427.00,420.50,421.03,1135766,6.50,5.97
13-03-2015,434.50,434.98,423.50,425.08,588782,11.48,9.42
12-03-2015,430.00,433.10,427.78,431.88,436570,5.32,-1.88
11-03-2015,430.00,434.75,426.60,427.93,481716,8.15,2.07
10-03-2015,435.00,437.45,427.70,429.55,1178348,9.75,5.45
09-03-2015,442.00,445.90,432.10,434.33,598398,13.80,7.67
05-03-2015,445.50,449.20,439.75,442.20,613310,9.45,3.30
04-03-2015,452.50,454.50,440.20,443.48,768616,14.30,9.02
03-03-2015,435.00,453.25,433.70,450.83,1415588,19.55,-15.83
02-03-2015,434.93,437.80,428.08,431.85,721292,9.72,3.08
28-02-2015,430.90,434.20,423.50,433.13,1022348,10.70,-2.23
27-02-2015,423.08,430.25,422.30,427.83,852362,7.95,-4.75
26-02-2015,423.03,425.00,418.55,421.13,1265978,6.45,1.90
25-02-2015,423.50,428.20,420.80,421.78,1286202,7.40,1.72
24-02-2015,426.50,428.60,418.55,420.88,1233712,10.05,5.62
23-02-2015,434.90,438.20,423.33,425.58,1061652,14.87,9.32
20-02-2015,448.50,448.50,436.00,436.63,1151780,12.50,11.87
19-02-2015,452.50,453.58,443.78,450.68,583428,9.80,1.82
18-02-2015,450.00,454.00,447.53,450.73,423582,6.47,-0.73
16-02-2015,460.00,461.98,450.03,451.33,550218,11.95,8.67
13-02-2015,457.50,460.00,454.83,458.60,555702,5.17,-1.10
12-02-2015,453.18,457.50,443.65,455.23,630456,13.85,-2.05
11-02-2015,442.50,452.10,441.83,450.48,526832,10.27,-7.98
10-02-2015,446.00,452.50,431.20,441.35,972836,21.30,4.65
09-02-2015,451.50,457.85,445.98,448.65,882484,11.87,2.85
06-02-2015,462.85,465.08,452.00,455.23,604308,13.08,7.62
05-02-2015,466.25,469.30,459.08,461.18,666080,10.22,5.07
04-02-2015,469.70,471.55,462.85,464.35,798944,8.70,5.35
03-02-2015,456.25,470.10,455.65,468.73,865528,14.45,-12.48
02-02-2015,457.58,459.68,453.00,453.95,1690804,6.68,3.63
30-01-2015,465.03,466.00,455.00,457.68,484106,11.00,7.35
29-01-2015,453.00,467.13,451.00,463.95,1100138,16.13,-10.95
28-01-2015,442.55,454.88,442.50,452.93,796164,12.38,-10.38
27-01-2015,445.10,448.45,440.45,444.38,720138,8.00,0.72
23-01-2015,445.00,448.45,438.73,443.48,810896,9.72,1.52
22-01-2015,452.60,453.48,439.68,442.05,850244,13.80,10.55
21-01-2015,452.00,454.60,446.15,452.33,716694,8.45,-0.33
20-01-2015,441.40,451.88,439.30,450.58,795454,12.58,-9.18
19-01-2015,435.00,442.88,429.53,439.93,920924,13.35,-4.93
16-01-2015,430.50,437.03,426.08,434.50,788228,10.95,-4.00
15-01-2015,420.63,435.10,420.55,432.30,1148366,14.55,-11.67
14-01-2015,421.55,423.45,415.55,417.53,1338366,7.90,4.02
13-01-2015,426.38,427.23,420.33,421.53,853892,6.90,4.85
12-01-2015,431.25,431.50,421.18,425.28,1006016,10.32,5.97
09-01-2015,423.08,431.25,422.55,430.23,1021342,8.70,-7.15
08-01-2015,429.93,431.48,420.85,421.43,1574268,10.63,8.50
07-01-2015,419.35,429.40,418.60,427.70,1320684,10.80,-8.35
06-01-2015,436.00,436.00,416.05,418.05,1950844,19.95,17.95
05-01-2015,442.78,445.45,437.65,438.55,657576,7.80,4.23
02-01-2015,444.40,448.00,442.00,442.80,521670,6.00,1.60
01-01-2015,442.75,446.08,442.10,444.03,362864,3.98,-1.28
31-12-2014,440.13,446.90,439.78,445.58,656930,7.12,-5.45
30-12-2014,449.20,449.25,438.83,440.30,879748,10.42,8.90
29-12-2014,444.25,450.25,443.30,448.50,807980,6.95,-4.25
26-12-2014,443.90,446.35,440.13,444.50,491646,6.22,-0.60
24-12-2014,447.50,448.30,440.83,443.40,1343612,7.47,4.10
23-12-2014,451.70,451.98,446.03,446.95,552218,5.95,4.75
22-12-2014,451.60,453.23,445.53,452.25,429658,7.70,-0.65
19-12-2014,443.40,454.30,441.20,450.08,951278,13.10,-6.68
18-12-2014,440.00,442.63,432.63,440.13,1068872,10.00,-0.13
17-12-2014,433.40,437.48,432.28,434.98,1393066,5.20,-1.58
16-12-2014,437.75,441.50,429.98,432.05,1849700,11.52,5.70
15-12-2014,438.10,440.45,436.20,439.23,889408,4.25,-1.13
12-12-2014,454.00,455.73,440.43,441.78,1546618,15.30,12.22
11-12-2014,465.00,465.00,451.60,453.15,1183060,13.40,11.85
10-12-2014,466.00,470.45,465.00,466.03,464830,5.45,-0.03
09-12-2014,471.20,475.03,465.70,469.65,548700,9.33,1.55
08-12-2014,481.15,481.45,471.30,472.53,483884,10.15,8.62
05-12-2014,480.50,483.40,477.75,478.85,535864,5.65,1.65
04-12-2014,484.18,487.18,478.05,479.28,400578,9.13,4.90
03-12-2014,480.45,486.80,480.45,483.10,574854,6.35,-2.65
02-12-2014,482.20,485.45,479.18,481.25,543000,6.27,0.95
01-12-2014,494.70,495.85,479.60,480.88,716112,16.25,13.82
28-11-2014,494.63,508.10,491.78,495.43,1372252,16.32,-0.80
27-11-2014,495.00,496.48,491.63,493.58,242520,4.85,1.42
26-11-2014,496.50,496.50,491.25,493.68,463914,5.25,2.82
25-11-2014,492.50,497.45,487.00,496.18,822278,10.45,-3.68
24-11-2014,500.00,501.58,491.00,492.30,480950,10.58,7.70
21-11-2014,490.45,499.95,490.00,498.73,661266,9.95,-8.28
20-11-2014,488.90,491.45,485.10,490.20,292742,6.35,-1.30
19-11-2014,493.88,495.90,488.13,488.90,257894,7.77,4.98
18-11-2014,493.18,498.75,492.75,493.88,445282,6.00,-0.70
17-11-2014,484.50,492.50,483.48,491.68,388008,9.02,-7.18
14-11-2014,485.03,488.75,482.50,484.58,445754,6.25,0.45
13-11-2014,487.85,489.90,482.08,484.38,508106,7.82,3.47
12-11-2014,491.00,492.00,485.00,486.95,405936,7.00,4.05
11-11-2014,486.20,493.60,483.50,488.88,500566,10.10,-2.68
10-11-2014,491.18,494.55,484.05,484.75,442254,10.50,6.43
07-11-2014,495.50,497.75,489.25,490.45,412262,8.50,5.05
05-11-2014,500.60,504.00,494.00,495.68,695082,10.00,4.92
03-11-2014,501.00,504.25,495.28,500.60,625474,8.97,0.40
31-10-2014,491.00,501.35,490.95,499.60,897550,10.40,-8.60
30-10-2014,474.20,490.73,474.15,489.65,1033898,16.58,-15.45
29-10-2014,469.00,476.20,467.00,475.65,679952,9.20,-6.65
28-10-2014,472.00,472.00,463.50,467.03,640720,8.50,4.97
27-10-2014,479.60,480.45,468.83,470.85,883806,11.62,8.75
23-10-2014,474.50,477.25,474.50,476.48,217236,2.75,-1.98
22-10-2014,468.35,475.45,466.83,472.98,594876,8.62,-4.63
21-10-2014,468.05,468.50,463.55,464.58,1350674,4.95,3.47
20-10-2014,468.78,470.90,456.38,467.25,1305460,14.52,1.53
17-10-2014,467.50,470.50,462.80,469.08,657922,7.70,-1.58
